,0
0,17
1,74
2,105
3,16
4,11
5,16
6,16
7,41
8,31
9,15
10,15
11,9
12,37
13,75
14,28
15,43
16,29
17,25
18,31
19,22
20,10
21,26
22,19
23,58
24,16
25,24
26,19
27,75
28,26
29,22
30,16
31,50
32,54
33,29
34,68
35,57
36,65
37,24
38,35
39,18
40,26
41,36
42,35
43,74
44,24
45,43
46,9
47,25
48,7
49,15
50,66
51,58
52,13
53,35
54,57
55,65
56,12
57,51
58,57
59,10
60,13
61,24
62,20
63,68
64,18
65,40
66,30
67,49
68,14
69,34
70,33
71,22
72,23
73,24
74,22
75,17
76,18
77,36
78,63
79,54
80,16
81,10
82,19
83,21
84,11
85,69
86,38
87,23
88,40
89,75
90,51
91,43
92,23
93,17
94,18
95,20
96,22
97,28
98,10
99,26
100,28
101,26
102,22
103,20
104,29
105,79
106,93
107,30
108,31
109,31
110,21
111,8
112,10
113,32
114,14
115,17
116,41
117,36
118,42
119,64
120,28
121,53
122,32
123,7
124,39
125,41
126,52
127,50
128,32
129,22
130,35
131,76
132,19
133,49
134,45
135,38
136,12
137,9
138,29
139,26
140,14
141,15
142,25
143,8
144,52
145,15
146,11
147,56
148,11
149,10
150,17
151,13
152,17
153,40
154,20
155,27
156,25
157,16
158,59
159,33
160,17
161,67
162,86
163,6
164,43
165,47
166,14
167,27
168,12
169,22
170,22
171,10
172,18
173,10
174,10
175,22
176,36
177,15
178,13
179,30
180,12
181,13
182,17
183,49
184,8
185,12
186,21
187,15
188,24
189,111
190,9
191,18
192,21
193,24
194,23
195,92
196,17
197,20
198,22
199,49
200,61
201,17
202,28
203,26
204,9
205,20
206,36
207,27
208,53
209,22
210,39
211,13
212,7
213,21
214,39
215,16
216,13
217,10
218,14
219,11
220,46
221,23
222,60
223,19
224,18
225,8
226,89
227,26
228,28
229,12
230,8
231,12
232,8
233,43
234,35
235,22
236,64
237,31
238,24
239,62
240,34
241,16
242,10
243,36
244,65
245,79
246,16
247,11
248,25
249,46
250,13
251,13
252,23
253,29
254,33
255,15
256,13
257,32
258,43
259,16
260,7
261,56
262,29
263,12
264,11
265,37
266,56
267,30
268,38
269,30
270,34
271,49
272,32
273,20
274,13
275,67
276,98
277,17
278,8
279,97
280,23
281,22
282,34
283,20
284,34
285,13
286,26
287,22
288,27
289,64
290,11
291,32
292,22
293,36
294,33
295,32
296,35
297,11
298,51
299,29
300,10
301,10
302,14
303,22
304,10
305,10
306,17
307,32
308,19
309,8
310,23
311,26
312,30
313,79
314,10
315,79
316,32
317,79
318,16
319,98
320,50
321,26
322,29
323,67
324,48
325,51
326,34
327,15
328,10
329,11
330,14
331,7
332,43
333,26
334,44
335,57
336,19
337,26
338,16
339,21
340,54
341,60
342,14
343,37
344,86
345,23
346,25
347,52
348,22
349,48
350,96
351,19
352,34
353,10
354,22
355,16
356,56
357,78
358,27
359,54
360,22
361,23
362,16
363,24
364,14
365,19
366,120
367,30
368,17
369,25
370,13
371,45
372,65
373,56
374,40
375,14
376,49
377,21
378,15
379,73
380,12
381,9
382,10
383,13
384,20
385,113
386,35
387,9
388,11
389,9
390,26
391,26
392,41
393,18
394,25
395,53
396,12
397,36
398,46
399,16
400,17
401,26
402,19
403,64
404,38
405,13
406,18
407,37
408,67
409,22
410,18
411,41
412,27
413,90
414,30
415,16
416,14
417,43
418,101
419,76
420,17
421,30
422,17
423,22
424,58
425,17
426,15
427,11
428,58
429,15
430,8
431,21
432,56
433,15
434,14
435,16
436,54
437,29
438,16
439,34
440,28
441,19
442,77
443,14
444,13
445,61
446,27
447,20
448,27
449,32
450,30
451,12
452,45
453,8
454,35
455,64
456,58
457,25
458,12
459,68
460,11
461,13
462,18
463,16
464,39
465,13
466,77
467,13
468,31
469,30
470,36
471,20
472,34
473,21
474,19
475,21
476,58
477,40
478,37
479,14
480,11
481,36
482,24
483,40
484,58
485,25
486,75
487,30
488,52
489,64
490,23
491,20
492,58
493,32
494,39
495,46
496,28
497,27
498,17
499,134
500,25
501,22
502,30
503,35
504,37
505,112
506,11
507,15
508,32
509,68
510,18
511,56
512,35
513,56
514,64
515,25
516,41
517,54
518,28
519,107
520,47
521,67
522,54
523,24
524,19
525,20
526,19
527,65
528,22
529,55
530,49
531,72
532,63
533,15
534,75
535,53
536,24
537,17
538,23
539,20
540,11
541,93
542,16
543,51
544,76
545,38
546,69
547,54
548,16
549,19
550,16
551,14
552,9
553,104
554,36
555,17
556,62
557,13
558,9
559,29
560,48
561,22
562,45
563,21
564,23
565,13
566,23
567,35
568,7
569,14
570,63
571,92
572,61
573,22
574,21
575,28
576,24
577,34
578,27
579,64
580,20
581,55
582,60
583,55
584,101
585,56
586,22
587,62
588,40
589,35
590,20
591,110
592,23
593,23
594,14
595,18
596,18
597,22
598,13
599,25
600,107
601,85
602,24
603,23
604,48
605,23
606,19
607,40
608,70
609,42
610,50
611,73
612,71
613,38
614,13
615,53
616,30
617,44
618,23
619,55
620,40
621,42
622,27
623,57
624,32
625,21
626,16
627,33
628,142
629,9
630,79
631,46
632,45
633,63
634,47
635,41
636,20
637,54
638,12
639,26
640,29
641,20
642,11
643,61
644,15
645,77
646,6
647,119
648,19
649,20
650,24
651,37
652,82
653,27
654,26
655,22
656,31
657,23
658,31
659,14
660,24
661,29
662,76
663,45
664,44
665,30
666,12
667,35
668,29
669,17
670,15
671,21
672,8
673,8
674,28
675,44
676,36
677,15
678,52
679,60
680,28
681,41
682,50
683,31
684,34
685,72
686,13
687,23
688,33
689,59
690,11
691,19
692,17
693,62
694,44
695,34
696,53
697,10
698,56
699,68
700,25
701,27
702,21
703,28
704,9
705,10
706,9
707,42
708,72
709,22
710,24
711,72
712,15
713,47
714,70
715,16
716,60
717,42
718,57
719,45
720,10
721,14
722,25
723,26
724,14
725,13
726,64
727,72
728,80
729,19
730,112
731,20
732,61
733,67
734,50
735,25
736,65
737,21
738,36
739,8
740,14
741,70
742,9
743,14
744,21
745,28
746,36
747,44
748,55
749,118
750,44
751,18
752,14
753,47
754,46
755,58
756,11
757,71
758,58
759,38
760,23
761,28
762,117
763,59
764,19
765,23
766,54
767,58
768,92
769,21
770,91
771,77
772,12
773,57
774,20
775,26
776,31
777,54
778,15
779,19
780,8
781,85
782,51
783,9
784,31
785,24
786,13
787,42
788,21
789,74
790,36
791,47
792,79
793,36
794,114
795,19
796,11
797,51
798,27
799,98
800,19
801,29
802,12
803,22
804,14
805,30
806,24
807,86
808,16
809,40
810,38
811,20
812,31
813,38
814,24
815,38
816,43
817,28
818,12
819,34
820,35
821,46
822,85
823,73
824,58
825,95
826,16
827,95
828,102
829,64
830,75
831,12
832,10
833,89
834,89
835,51
836,18
837,36
838,35
839,76
840,42
841,59
842,25
843,30
844,70
845,19
846,108
847,32
848,24
849,8
850,40
851,58
852,53
853,13
854,41
855,10
856,20
857,29
858,59
859,14
860,152
861,15
862,44
863,78
864,47
865,10
866,72
867,31
868,27
869,20
870,67
871,28
872,12
873,37
874,75
875,25
876,23
877,26
878,44
879,67
880,16
881,43
882,24
883,21
884,30
885,10
886,19
887,19
888,58
889,29
890,149
891,45
892,108
893,75
894,9
895,19
896,26
897,26
898,109
899,29
900,23
901,8
902,21
903,27
904,56
905,91
906,109
907,18
908,139
909,79
910,40
911,21
912,61
913,119
914,34
915,18
916,87
917,14
918,21
919,27
920,26
921,82
922,49
923,67
924,42
925,38
926,19
927,23
928,78
929,46
930,14
931,28
932,31
933,86
934,18
935,23
936,58
937,9
938,52
939,27
940,53
941,56
942,24
943,39
944,18
945,22
946,20
947,53
948,65
949,7
950,49
951,23
952,29
953,50
954,53
955,88
956,75
957,97
958,34
959,21
960,14
961,27
962,28
963,102
964,32
965,102
966,10
967,37
968,17
969,67
970,11
971,76
972,18
973,32
974,19
975,44
976,39
977,25
978,30
979,46
980,68
981,24
982,18
983,24
984,99
985,101
986,47
987,29
988,29
989,13
990,40
991,39
992,9
993,60
994,17
995,89
996,23
997,44
998,43
999,8
1000,44
