,0
0,12
1,11
2,23
3,12
4,12
5,12
6,11
7,13
8,12
9,11
10,12
11,10
12,12
13,13
14,27
15,14
16,12
17,12
18,10
19,11
20,11
21,10
22,11
23,14
24,15
25,11
26,11
27,19
28,11
29,14
30,11
31,15
32,11
33,12
34,12
35,14
36,14
37,15
38,11
39,15
40,10
41,15
42,11
43,13
44,15
45,14
46,12
47,46
48,12
49,12
50,10
51,13
52,10
53,14
54,13
55,15
56,12
57,12
58,13
59,15
60,21
61,12
62,11
63,11
64,13
65,10
66,10
67,11
68,16
69,10
70,15
71,11
72,15
73,14
74,14
75,10
76,11
77,12
78,13
79,15
80,11
81,15
82,11
83,11
84,14
85,10
86,11
87,14
88,14
89,10
90,13
91,11
92,13
93,16
94,11
95,13
96,16
97,19
98,17
99,24
100,12
101,11
102,12
103,26
104,13
105,13
106,12
107,11
108,33
109,15
110,11
111,12
112,13
113,15
114,10
115,11
116,11
117,11
118,16
119,12
120,18
121,11
122,11
123,11
124,11
125,11
126,11
127,11
128,12
129,13
130,14
131,17
132,15
133,11
134,12
135,13
136,13
137,16
138,11
139,16
140,33
141,13
142,10
143,17
144,11
145,13
146,12
147,11
148,14
149,12
150,13
151,11
152,12
153,13
154,10
155,13
156,26
157,10
158,10
159,10
160,10
161,10
162,15
163,12
164,12
165,10
166,18
167,10
168,11
169,14
170,10
171,12
172,13
173,10
174,11
175,12
176,14
177,11
178,13
179,12
180,11
181,10
182,13
183,13
184,11
185,12
186,12
187,11
188,14
189,12
190,13
191,12
192,11
193,11
194,14
195,13
196,10
197,13
198,10
199,14
200,15
201,15
202,11
203,10
204,12
205,17
206,11
207,11
208,11
209,15
210,27
211,10
212,10
213,12
214,12
215,10
216,10
217,11
218,12
219,14
220,11
221,10
222,15
223,10
224,10
225,10
226,15
227,10
228,24
229,10
230,12
231,15
232,12
233,15
234,11
235,19
236,14
237,16
238,11
239,20
240,12
241,11
242,12
243,12
244,12
245,13
246,10
247,13
248,12
249,16
250,13
251,11
252,13
253,12
254,12
255,10
256,17
257,11
258,12
259,11
260,12
261,35
262,14
263,10
264,10
265,14
266,11
267,10
268,10
269,10
270,13
271,15
272,11
273,14
274,10
275,10
276,12
277,11
278,11
279,13
280,16
281,10
282,12
283,11
284,14
285,16
286,15
287,15
288,13
289,11
290,14
291,23
292,11
293,10
294,10
295,11
296,24
297,11
298,14
299,10
300,11
301,14
302,11
303,14
304,15
305,16
306,17
307,11
308,19
309,16
310,12
311,10
312,10
313,14
314,10
315,14
316,14
317,13
318,11
319,11
320,17
321,13
322,17
323,13
324,10
325,11
326,10
327,13
328,11
329,14
330,10
331,19
332,11
333,13
334,11
335,12
336,10
337,12
338,13
339,10
340,12
341,11
342,16
343,14
344,11
345,25
346,13
347,16
348,13
349,14
350,11
351,14
352,13
353,10
354,13
355,11
356,13
357,11
358,10
359,10
360,12
361,12
362,11
363,12
364,11
365,11
366,10
367,12
368,11
369,14
370,36
371,13
372,11
373,10
374,13
375,17
376,10
377,15
378,11
379,15
380,15
381,13
382,11
383,16
384,13
385,11
386,12
387,13
388,11
389,14
390,14
391,14
392,14
393,15
394,14
395,11
396,12
397,12
398,12
399,11
400,19
401,16
402,26
403,13
404,11
405,19
406,11
407,11
408,12
409,12
410,10
411,17
412,11
413,49
414,11
415,12
416,11
417,12
418,17
419,11
420,11
421,16
422,14
423,11
424,10
425,16
426,13
427,13
428,15
429,12
430,10
431,17
432,10
433,10
434,11
435,16
436,12
437,13
438,11
439,15
440,11
441,13
442,13
443,17
444,12
445,10
446,11
447,12
448,13
449,13
450,12
451,12
452,12
453,11
454,13
455,13
456,11
457,10
458,11
459,12
460,14
461,35
462,14
463,11
464,13
465,13
466,13
467,15
468,11
469,13
470,13
471,33
472,14
473,12
474,12
475,23
476,13
477,14
478,22
479,14
480,14
481,14
482,10
483,11
484,15
485,13
486,15
487,14
488,11
489,12
490,10
491,11
492,10
493,13
494,16
495,10
496,27
497,11
498,14
499,15
500,12
501,12
502,12
503,13
504,20
505,14
506,16
507,10
508,14
509,13
510,13
511,11
512,10
513,11
514,11
515,11
516,11
517,11
518,12
519,20
520,15
521,17
522,10
523,11
524,11
525,10
526,11
527,21
528,12
529,13
530,14
531,14
532,16
533,15
534,12
535,10
536,15
537,17
538,12
539,14
540,15
541,14
542,14
543,13
544,15
545,15
546,10
547,17
548,19
549,12
550,10
551,16
552,11
553,11
554,13
555,12
556,11
557,11
558,12
559,12
560,13
561,16
562,13
563,18
564,39
565,11
566,14
567,12
568,14
569,12
570,10
571,17
572,16
573,17
574,14
575,11
576,11
577,16
578,11
579,11
580,12
581,12
582,14
583,16
584,14
585,10
586,14
587,11
588,12
589,12
590,25
591,11
592,11
593,12
594,11
595,18
596,15
597,14
598,11
599,15
600,31
601,17
602,11
603,10
604,16
605,16
606,11
607,18
608,11
609,11
610,14
611,16
612,11
613,14
614,23
615,14
616,25
617,33
618,13
619,12
620,12
621,12
622,10
623,12
624,14
625,11
626,16
627,12
628,21
629,14
630,16
631,20
632,11
633,11
634,44
635,11
636,13
637,11
638,11
639,12
640,13
641,15
642,11
643,13
644,16
645,27
646,10
647,12
648,11
649,10
650,12
651,16
652,13
653,11
654,10
655,20
656,15
657,11
658,20
659,19
660,10
661,14
662,13
663,11
664,16
665,16
666,12
667,14
668,12
669,14
670,10
671,10
672,15
673,10
674,11
675,14
676,10
677,12
678,14
679,13
680,20
681,11
682,13
683,11
684,14
685,33
686,18
687,16
688,22
689,47
690,11
691,11
692,14
693,16
694,11
695,10
696,11
697,10
698,12
699,13
700,18
701,15
702,14
703,13
704,15
705,12
706,12
707,13
708,15
709,10
710,10
711,24
712,12
713,19
714,14
715,13
716,11
717,14
718,12
719,14
720,15
721,15
722,12
723,11
724,13
725,11
726,21
727,12
728,17
729,20
730,12
731,16
732,12
733,15
734,15
735,21
736,13
737,12
738,27
739,14
740,54
741,13
742,16
743,12
744,12
745,17
746,12
747,12
748,22
749,10
750,22
751,11
752,11
753,11
754,20
755,12
756,16
757,22
758,11
759,19
760,12
761,14
762,13
763,12
764,11
765,13
766,11
767,11
768,16
769,16
770,13
771,10
772,19
773,56
774,13
775,14
776,13
777,18
778,14
779,14
780,11
781,14
782,12
783,13
784,33
785,44
786,12
787,15
788,13
789,16
790,11
791,16
792,14
793,12
794,15
795,11
796,14
797,11
798,11
799,10
800,13
801,26
802,15
803,10
804,23
805,20
806,12
807,11
808,33
809,29
810,14
811,11
812,10
813,12
814,12
815,11
816,23
817,11
818,15
819,10
820,11
821,12
822,17
823,11
824,20
825,18
826,11
827,22
828,12
829,17
830,11
831,11
832,10
833,12
834,12
835,29
836,11
837,21
838,11
839,11
840,12
841,17
842,14
843,13
844,13
845,12
846,16
847,13
848,12
849,16
850,25
851,11
852,15
853,10
854,10
855,13
856,13
857,10
858,13
859,12
860,57
861,15
862,16
863,23
864,13
865,16
866,13
867,19
868,28
869,17
870,16
871,17
872,12
873,16
874,11
875,15
876,14
877,15
878,11
879,22
880,10
881,12
882,21
883,16
884,11
885,18
886,11
887,16
888,23
889,15
890,13
891,14
892,12
893,52
894,13
895,11
896,24
897,16
898,16
899,27
900,11
901,11
902,10
903,16
904,13
905,43
906,14
907,10
908,10
909,19
910,13
911,11
912,10
913,56
914,27
915,19
916,14
917,14
918,15
919,34
920,13
921,11
922,14
923,15
924,17
925,16
926,15
927,11
928,19
929,12
930,11
931,14
932,16
933,13
934,22
935,11
936,16
937,28
938,14
939,12
940,35
941,15
942,19
943,11
944,14
945,11
946,15
947,11
948,14
949,15
950,22
951,12
952,16
953,34
954,13
955,25
956,33
957,11
958,15
959,12
960,11
961,12
962,23
963,10
964,45
965,11
966,14
967,37
968,12
969,15
970,15
971,14
972,13
973,11
974,15
975,12
976,13
977,11
978,22
979,12
980,25
981,15
982,14
983,12
984,14
985,14
986,13
987,11
988,11
989,11
990,22
991,11
992,35
993,13
994,34
995,44
996,12
997,16
998,47
999,14
1000,18
1001,28
1002,15
1003,11
1004,30
1005,11
1006,11
1007,17
1008,14
1009,15
1010,11
1011,21
1012,10
1013,64
1014,13
1015,16
1016,13
1017,13
1018,12
1019,19
1020,14
1021,10
1022,11
1023,12
1024,11
1025,30
1026,15
1027,15
1028,26
1029,17
1030,11
1031,14
1032,13
1033,14
1034,53
1035,10
1036,31
1037,10
1038,12
1039,15
1040,10
1041,15
1042,11
1043,38
1044,18
1045,13
1046,17
1047,14
1048,16
1049,28
1050,11
1051,11
1052,10
1053,14
1054,11
1055,13
1056,11
1057,19
1058,11
1059,29
1060,22
1061,12
1062,13
1063,20
1064,39
1065,13
1066,11
1067,38
1068,12
1069,18
1070,12
1071,13
1072,23
1073,13
1074,11
1075,43
1076,28
1077,13
1078,13
1079,17
1080,20
1081,12
1082,13
1083,10
1084,17
1085,14
1086,13
1087,20
1088,14
1089,12
1090,11
1091,20
1092,11
1093,10
1094,36
1095,10
1096,51
1097,13
1098,12
1099,11
1100,15
1101,14
1102,10
1103,41
1104,15
1105,14
1106,13
1107,13
1108,24
1109,12
1110,14
1111,17
1112,15
1113,24
1114,35
1115,36
1116,29
1117,15
1118,39
1119,21
1120,45
1121,11
1122,19
1123,15
1124,20
1125,26
1126,11
1127,17
1128,18
1129,15
1130,27
1131,12
1132,16
